weight,fighter1,fighter2,method,round_end,time,date,event
"Welterweight
","Belal Muhammad
","Augusto Montaño
","TKO (punches)
","3
","4:19
","Sep 17, 2016",UFC Fight Night: Poirier vs. Johnson
"Middleweight
","Antônio Carlos Júnior
","Leonardo Augusto Guimarães
","Submission (rear-naked choke)
","3
","4:46
","Sep 17, 2016",UFC Fight Night: Poirier vs. Johnson
"Bantamweight
","José Alberto Quiñónez
","Joey Gomez
","Decision (unanimous) (29-28, 30-27, 30-27)
","3
","5:00
","Sep 17, 2016",UFC Fight Night: Poirier vs. Johnson
"Welterweight
","Randy Brown
","Erick Montaño
","Submission (guillotine choke)
","3
","0:18
","Sep 17, 2016",UFC Fight Night: Poirier vs. Johnson
"Bantamweight
","Alejandro Pérez
","Albert Morales
","Draw (majority) (29-27, 28-28, 28-28)
","3
","5:00
","Sep 17, 2016",UFC Fight Night: Poirier vs. Johnson
"Heavyweight
","Stipe Miocic (c)
","Alistair Overeem
","KO (punches)
","1
","4:27
","Sep 10, 2016",UFC 203
"Heavyweight
","Fabrício Werdum
","Travis Browne
","Decision (unanimous) (29-28, 29-27, 30-27)
","3
","5:00
","Sep 10, 2016",UFC 203
"Welterweight
","Mickey Gall
","CM Punk
","Submission (rear-naked choke)
","1
","2:14
","Sep 10, 2016",UFC 203
"Bantamweight
","Jimmie Rivera
","Urijah Faber
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Sep 10, 2016",UFC 203
"Women's Strawweight
","Jéssica Andrade
","Joanne Calderwood
","Submission (guillotine choke)
","1
","4:38
","Sep 10, 2016",UFC 203
"Women's Bantamweight
","Bethe Correia
","Jessica Eye
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Sep 10, 2016",UFC 203
"Middleweight
","Brad Tavares
","Caio Magalhães
","Decision (split) (28-29, 30-27, 29-28)
","3
","5:00
","Sep 10, 2016",UFC 203
"Catchweight (158 lbs)
","Nik Lentz
","Michael McBride
","TKO (punches)
","2
","4:17
","Sep 10, 2016",UFC 203
"Lightweight
","Drew Dober
","Jason Gonzalez
","KO (punches)
","1
","1:45
","Sep 10, 2016",UFC 203
"Welterweight
","Yancy Medeiros
","Sean Spencer
","Submission (rear-naked choke)
","2
","0:49
","Sep 10, 2016",UFC 203
"Heavyweight
","Josh Barnett
","Andrei Arlovski
","Submission (rear-naked choke)
","3
","2:53
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Light Heavyweight
","Alexander Gustafsson
","Jan Błachowicz
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Light Heavyweight
","Ryan Bader
","Ilir Latifi
","KO (knee)
","2
","2:06
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Lightweight
","Nick Hein
","Tae Hyun Bang
","Decision (unanimous) (29-28, 30-28, 30-27)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Welterweight
","Jessin Ayari
","Jim Wallhead
","Decision (split) (28-29, 29-28, 30-27)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Welterweight
","Peter Sobotta
","Nicolas Dalby
","Decision (unanimous) (30-26, 30-26, 30-26)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Women's Bantamweight
","Ashlee Evans-Smith
","Veronica Macedo
","TKO (punches and elbows)
","3
","3:14
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Bantamweight
","Taylor Lapilus
","Leandro Issa
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Heavyweight
","Jarjis Danho
","Christian Colombo
","Draw (majority) (29-27, 28-28, 28-28)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Middleweight
","Jack Hermansson
","Scott Askham
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Lightweight
","Rustam Khabilov
","Leandro Silva
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Sep 3, 2016",UFC Fight Night: Arlovski vs. Barnett
"Welterweight
","Demian Maia
","Carlos Condit
","Submission (rear-naked choke)
","1
","1:52
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Featherweight
","Anthony Pettis
","Charles Oliveira
","Submission (guillotine choke)
","3
","1:49
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Women's Strawweight
","Paige VanZant
","Bec Rawlings
","KO (jumping switch kick and punches)
","2
","0:17
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Lightweight
","Jim Miller
","Joe Lauzon
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Middleweight
","Sam Alvey
","Kevin Casey
","TKO (punches)
","2
","4:56
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Featherweight
","Kyle Bochniak
","Enrique Barzola
","Decision (split) (29-28, 27-30, 29-28)
","3
","5:00
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Middleweight
","Alessio Di Chirico
","Garreth McLellan
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Lightweight
","Felipe Silva
","Shane Campbell
","TKO (punches)
","1
","1:13
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Catchweight (159 lbs)
","Chad Laprise
","Thibault Gouti
","TKO (punches)
","1
","1:36
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Lightweight
","Jeremy Kennedy
","Alessandro Ricci
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Aug 27, 2016",UFC on Fox: Maia vs. Condit
"Welterweight
","Conor McGregor
","Nate Diaz
","Decision (majority) (48-47, 47-47, 48-47)
","5
","5:00
","Aug 20, 2016",UFC 202
"Light Heavyweight
","Anthony Johnson
","Glover Teixeira
","KO (punch)
","1
","0:13
","Aug 20, 2016",UFC 202
"Welterweight
","Donald Cerrone
","Rick Story
","TKO (head kick and punches)
","2
","2:02
","Aug 20, 2016",UFC 202
"Welterweight
"," Mike Perry
","Hyun Gyu Lim
","TKO (punches)
","1
","3:38
","Aug 20, 2016",UFC 202
"Welterweight
","Tim Means
","Sabah Homasi
","TKO (punches)
","2
","2:56
","Aug 20, 2016",UFC 202
"Bantamweight
","Cody Garbrandt
","Takeya Mizugaki
","TKO (punches)
","1
","0:48
","Aug 20, 2016",UFC 202
"Women's Bantamweight
","Raquel Pennington
","Elizabeth Phillips
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Aug 20, 2016",UFC 202
"Featherweight
","Artem Lobov
","Chris Avila
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Aug 20, 2016",UFC 202
"Women's Strawweight
","Cortney Casey
","Randa Markos
","Verbal Submission (armbar)
","1
","4:34
","Aug 20, 2016",UFC 202
"Welterweight
","Lorenz Larkin
","Neil Magny
","TKO (elbows)
","1
","4:08
","Aug 20, 2016",UFC 202
"Welterweight
","Colby Covington
","Max Griffin
","TKO (punches)
","3
","2:18
","Aug 20, 2016",UFC 202
"Middleweight
","Marvin Vettori
","Alberto Uda
","Submission (guillotine choke)
","1
","4:30
","Aug 20, 2016",UFC 202
"Featherweight
","Yair Rodriguez
","Alex Caceres
","Decision (split) (46-49, 48-47, 48-47)
","5
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Featherweight
","Dennis Bermudez
","Rony Jason
","Decision (unanimous) (30-27, 30-26, 30-27)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Middleweight
","Thales Leites
","Chris Camozzi
","Submission (rear-naked choke)
","3
","2:58
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Welterweight
","Santiago Ponzinibbio
","Zak Cummings
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Middleweight
","Trevor Smith
","Joe Gigliotti
","Decision (unanimous) (30-26, 30-26, 30-26)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Women's Strawweight
","Maryna Moroz
","Danielle Taylor
","Decision (split) (28-29, 29-28, 30-27)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Welterweight
","Court McGee
","Dominique Steele
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Heavyweight
","Marcin Tybura
","Viktor Pešta
","KO (head kick)
","2
","0:53
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Lightweight
","David Teymur
","Jason Novelli
","KO (punches)
","2
","1:25
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Featherweight
","Teruto Ishihara
","Horacio Gutiérrez
","KO (punches)
","1
","2:32
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Featherweight
","Cub Swanson
","Tatsuya Kawajiri
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Heavyweight
","Justin Ledet
","Chase Sherman
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Aug 6, 2016",UFC Fight Night: Rodríguez vs. Caceres
"Welterweight
","Tyron Woodley
","Robbie Lawler (c)
","KO (punches)
","1
","2:12
","Jul 30, 2016",UFC 201
"Women's Strawweight
","Karolina Kowalkiewicz
","Rose Namajunas
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","Jul 30, 2016",UFC 201
"Welterweight
","Jake Ellenberger
","Matt Brown
","TKO (body kick and punches)
","1
","1:46
","Jul 30, 2016",UFC 201
"Bantamweight
","Érik Pérez
","Francisco Rivera
","Decision (unanimous) (30-26, 30-26, 29-28)
","3
","5:00
","Jul 30, 2016",UFC 201
"Flyweight
","Ryan Benoit
","Fredy Serrano
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","Jul 30, 2016",UFC 201
"Light Heavyweight
","Nikita Krylov
","Ed Herman
","KO (head kick)
","2
","0:40
","Jul 30, 2016",UFC 201
"Welterweight
","Jorge Masvidal
","Ross Pearson
","Decision (unanimous) (29-28, 29-28, 30-27)
","3
","5:00
","Jul 30, 2016",UFC 201
"Heavyweight
","Anthony Hamilton
","Damian Grabowski
","KO (punches)
","1
","0:14
","Jul 30, 2016",UFC 201
"Flyweight
","Wilson Reis
","Hector Sandoval
","Submission (rear-naked choke)
","1
","1:49
","Jul 30, 2016",UFC 201
"Welterweight
","Michael Graves
","Bojan Veličković
","Draw (majority) (30-27, 28-28, 28-28)
","3
","5:00
","Jul 30, 2016",UFC 201
"Lightweight
","Damien Brown
","Cesar Arzamendia
","KO (punches)
","1
","2:27
","Jul 30, 2016",UFC 201
"Women's Bantamweight
","Valentina Shevchenko
","Holly Holm
","Decision (unanimous) (49-46, 49-46, 49-46)
","5
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Lightweight
","Edson Barboza
","Gilbert Melendez
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Heavyweight
","Francis Ngannou
","Bojan Mihajlović
","TKO (punches)
","1
","1:34
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Women's Strawweight
","Felice Herrig
","Kailin Curran
","Submission (rear-naked choke)
","1
","1:59
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Bantamweight
","Eddie Wineland
","Frankie Saenz
","TKO (punches)
","3
","1:54
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Featherweight
","Darren Elkins
","Godofredo Pepey
","Decision (unanimous) (29-27, 29-27, 30-26)
","3
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Welterweight
","Kamaru Usman
","Alexander Yakovlev
","Decision (unanimous) (30-25, 30-25, 30-25)
","3
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Lightweight
","Michel Prazeres
","J.C. Cottrell
","Decision (unanimous) (30-26, 30-27, 30-27)
","3
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Welterweight
","Alex Oliveira
","James Moontasri
","Decision (unanimous) (30-26, 30-26, 30-25)
","3
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Featherweight
","Jason Knight
","Jim Alers
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Heavyweight
","Luis Henrique
","Dmitry Smolyakov
","Submission (rear-naked choke)
","2
","3:58
","Jul 23, 2016",UFC on Fox: Holm vs. Shevchenko
"Bantamweight
","John Lineker
","Michael McDonald
","KO (punches)
","1
","2:43
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Lightweight
","Tony Ferguson
","Lando Vannata
","Submission (D'Arce choke)
","2
","2:22
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Middleweight
","Tim Boetsch
","Josh Samman
","TKO (punches)
","2
","3:49
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Heavyweight
","Daniel Omielańczuk
","Oleksiy Oliynyk
","Decision (majority) (28-28, 29-28, 29-28)
","3
","5:00
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Welterweight
","Keita Nakamura
","Kyle Noke
","Submission (rear-naked choke)
","2
","4:59
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Flyweight
","Louis Smolka
","Ben Nguyen
","TKO (punches and elbows)
","2
","4:41
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Women's Bantamweight
","Katlyn Chookagian
","Lauren Murphy
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Middleweight
","Sam Alvey
","Eric Spicely
","Submission (guillotine choke)
","1
","2:43
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Women's Strawweight
","Cortney Casey
","Cristina Stanciu
","TKO (elbows)
","1
","2:36
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Lightweight
","Scott Holtzman
","Cody Pfister
","Decision (unanimous) (30-27, 30-27, 29-28)
","3
","5:00
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Bantamweight
","Rani Yahya
","Matthew Lopez
","Submission (arm-triangle choke)
","3
","4:19
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Middleweight
","Alex Nicholson
","Devin Clark
","KO (punch)
","1
","4:57
","Jul 13, 2016",UFC Fight Night: McDonald vs. Lineker
"Women's Bantamweight
","Amanda Nunes
","Miesha Tate (c)
","Submission (rear-naked choke)
","1
","3:16
","Jul 9, 2016",UFC 200
"Heavyweight
","Brock Lesnar
","Mark Hunt
","No Contest (overturned)
","3
","5:00
","Jul 9, 2016",UFC 200
"Light Heavyweight
","Daniel Cormier (c)
","Anderson Silva
","Decision (unanimous) (30-26, 30-26, 30-26)
","3
","5:00
","Jul 9, 2016",UFC 200
"Featherweight
","José Aldo
","Frankie Edgar
","Decision (unanimous) (49-46, 49-46, 48-47)
","5
","5:00
","Jul 9, 2016",UFC 200
"Heavyweight
","Cain Velasquez
","Travis Browne
","TKO (punches)
","1
","4:57
","Jul 9, 2016",UFC 200
"Women's Bantamweight
","Julianna Peña
","Cat Zingano
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 9, 2016",UFC 200
"Catchweight (171.25 lbs)
","Kelvin Gastelum
","Johny Hendricks
","Decision (unanimous) (29-28, 30-27, 30-27)
","3
","5:00
","Jul 9, 2016",UFC 200
"Bantamweight
","T.J. Dillashaw
","Raphael Assunção
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 9, 2016",UFC 200
"Lightweight
","Sage Northcutt
","Enrique Marín
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 9, 2016",UFC 200
"Lightweight
","Joe Lauzon
","Diego Sanchez
","TKO (punches)
","1
","1:26
","Jul 9, 2016",UFC 200
"Middleweight
","Gegard Mousasi
","Thiago Santos
","TKO (punches)
","1
","4:32
","Jul 9, 2016",UFC 200
"Lightweight
","Jim Miller
","Takanori Gomi
","TKO (punches)
","1
","2:18
","Jul 9, 2016",UFC 200
"Women's Strawweight
","Joanna Jędrzejczyk (c)
","Cláudia Gadelha
","Decision (unanimous) (48-46, 48-45, 48-46)
","5
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Light Heavyweight
","Andrew Sanchez
","Khalil Rountree
","Decision (unanimous) (30-25, 30-25, 30-26)
","3
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Women's Strawweight
","Tatiana Suarez
","Amanda Cooper
","Submission (D'Arce choke)
","1
","3:43
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Lightweight
","Will Brooks
","Ross Pearson
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Featherweight
","Doo Ho Choi
","Thiago Tavares
","KO (punches)
","1
","2:42
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Lightweight
","Joaquim Silva
","Andrew Holbrook
","KO (punches)
","1
","0:34
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Featherweight
","Gray Maynard
","Fernando Bruno
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Flyweight
","Matheus Nicolau
","John Moraga
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Light Heavyweight
","Josh Stansbury
","Cory Hendricks
","Decision (majority) (29-27, 29-27, 28-28)
","3
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Middleweight
","Cezar Ferreira
","Anthony Smith
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Lightweight
","Kevin Lee
","Jake Matthews
","TKO (punches)
","1
","4:06
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Welterweight
","Li Jingliang
","Anton Zafir
","KO (punches)
","1
","2:46
","Jul 8, 2016",The Ultimate Fighter: Team Joanna vs. Team Cláudia#The Ultimate Fighter 23 Finale
"Lightweight
","Eddie Alvarez
","Rafael dos Anjos (c)
","TKO (punches)
","1
","3:49
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Heavyweight
","Derrick Lewis
","Roy Nelson
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Welterweight
","Alan Jouban
","Belal Muhammad
","Decision (unanimous) (28-27, 29-28, 29-27)
","3
","5:00
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Lightweight
","Joseph Duffy
","Mitch Clarke
","Submission (rear-naked choke)
","1
","0:25
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Welterweight
","Alberto Mina
","Mike Pyle
","KO (flying knee and punches)
","2
","1:17
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Lightweight
","John Makdessi
","Mehdi Baghdad
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Bantamweight
","Anthony Birchak
","Dileno Lopes
","Decision (split) (27-30, 29-28, 29-28)
","3
","5:00
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Bantamweight
","Pedro Munhoz
","Russell Doane
","Submission (guillotine choke)
","1
","2:08
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Bantamweight
","Felipe Arantes
","Jerrod Sanders
","Submission (armbar)
","2
","1:39
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Lightweight
","Gilbert Burns
","Łukasz Sajewski
","Submission (armbar)
","1
","4:57
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Bantamweight
","Marco Beltrán
","Reginaldo Vieira
","Submission (rear-naked choke)
","2
","3:04
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Welterweight
","Vicente Luque
","Álvaro Herrera
","Submission (D'Arce choke)
","2
","3:52
","Jul 7, 2016",UFC Fight Night: dos Anjos vs. Alvarez
"Welterweight
","Stephen Thompson
","Rory MacDonald
","Decision (unanimous) (50-45, 50-45, 48-47)
","5
","5:00
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Welterweight
","Donald Cerrone
","Patrick Côté
","TKO (punches)
","3
","2:35
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Light Heavyweight
","Steve Bossé
","Sean O'Connell
","Decision (unanimous) (29-28, 29-28, 29-27)
","3
","5:00
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Lightweight
","Olivier Aubin-Mercier
","Thibault Gouti
","Submission (rear-naked choke)
","3
","2:28
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Women's Flyweight
","Joanne Calderwood
","Valérie Létourneau
","TKO (body kick and punches)
","3
","2:51
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Lightweight
","Jason Saggo
","Leandro Silva
","Decision (split) (28-29, 29-28, 29-28)
","3
","5:00
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Light Heavyweight
","Misha Cirkunov
","Ion Cuțelaba
","Submission (arm-triangle choke)
","3
","1:22
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Middleweight
","Krzysztof Jotko
","Tamdan McCrory
","KO (punch)
","1
","0:59
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Bantamweight
","Joe Soto
","Chris Beal
","Submission (rear-naked choke)
","3
","3:39
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Middleweight
","Elias Theodorou
","Sam Alvey
","Decision (unanimous) (29-28, 30-27, 30-27)
","3
","5:00
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Catchweight (117.5 lbs)
","Randa Markos
","Jocelyn Jones-Lybarger
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Welterweight
","Colby Covington
","Jonathan Meunier
","Submission (rear-naked choke)
","3
","0:54
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Flyweight
","Ali Bagautinov
","Geane Herrera
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jun 18, 2016",UFC Fight Night: MacDonald vs. Thompson
"Middleweight
","Michael Bisping
","Luke Rockhold (c)
","KO (punches)
","1
","3:36
","Jun 4, 2016",UFC 199
"Bantamweight
","Dominick Cruz (c)
","Urijah Faber
","Decision (unanimous) (50-45, 50-45, 49-46)
","5
","5:00
","Jun 4, 2016",UFC 199
"Featherweight
","Max Holloway
","Ricardo Lamas
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","Jun 4, 2016",UFC 199
"Middleweight
","Dan Henderson
","Hector Lombard
","KO (back elbow)
","2
","1:27
","Jun 4, 2016",UFC 199
"Lightweight
","Dustin Poirier
","Bobby Green
","KO (punches)
","1
","2:53
","Jun 4, 2016",UFC 199
"Featherweight
","Brian Ortega
","Clay Guida
","KO (knee)
","3
","4:40
","Jun 4, 2016",UFC 199
"Lightweight
","Beneil Dariush
","James Vick
","KO (punch)
","1
","4:16
","Jun 4, 2016",UFC 199
"Women's Strawweight
","Jéssica Andrade
","Jessica Penne
","TKO (punches)
","2
","2:56
","Jun 4, 2016",UFC 199
"Featherweight
","Alex Caceres
","Cole Miller
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","Jun 4, 2016",UFC 199
"Welterweight
","Sean Strickland
","Tom Breese
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","Jun 4, 2016",UFC 199
"Light Heavyweight
","Henrique da Silva
","Jonathan Wilson
","TKO (punches)
","2
","4:11
","Jun 4, 2016",UFC 199
"Middleweight
","Kevin Casey
","Elvis Mutapcic
","Draw (split) (29-28, 28-29, 28-28)
","3
","5:00
","Jun 4, 2016",UFC 199
"Lightweight
","Polo Reyes
","Dong Hyun Kim
","KO (punches)
","3
","1:52
","Jun 4, 2016",UFC 199
"Bantamweight
","Cody Garbrandt
","Thomas Almeida
","KO (punches)
","1
","2:53
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Featherweight
","Jeremy Stephens
","Renan Barão
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Welterweight
","Rick Story
","Tarec Saffiedine
","Decision (unanimous) (30-27, 29-28, 29-28)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Middleweight
","Chris Camozzi
","Vitor Miranda
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Welterweight
","Lorenz Larkin
","Jorge Masvidal
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Lightweight
","Paul Felder
","Joshua Burkman
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Women's Bantamweight
","Sara McMann
","Jessica Eye
","Decision (unanimous) (30-27, 30-27, 30-27)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Lightweight
","Abel Trujillo
","Jordan Rinaldi
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Middleweight
","Jake Collier
","Alberto Uda
","TKO (knee and spinning back kick to the body)
","2
","1:06
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Lightweight
","Erik Koch
","Shane Campbell
","Submission (rear-naked choke)
","2
","3:02
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Bantamweight
","Bryan Caraway
","Aljamain Sterling
","Decision (split) (29-28, 28-29, 29-28)
","3
","5:00
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Heavyweight
","Adam Milstead
","Chris De La Rocha
","TKO (punches)
","2
","4:01
","May 29, 2016",UFC Fight Night: Almeida vs. Garbrandt
"Heavyweight
","Stipe Miocic
","Fabrício Werdum (c)
","KO (punch)
","1
","2:47
","May 14, 2016",UFC 198
"Middleweight
","Ronaldo Souza
","Vitor Belfort
","TKO (punches)
","1
","4:38
","May 14, 2016",UFC 198
